City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,27.15,79,100,4.12,US,1719189071
1,belmonte,-15.8631,-38.8828,22.95,85,28,2.66,BR,1719189071
2,puerto ayora,-0.7393,-90.3518,21.97,95,53,0.89,EC,1719189071
3,san luis de la loma,17.2706,-100.8939,27.35,82,100,1.59,MX,1719189072
4,anzio,41.4853,12.6179,20.25,78,53,2.21,IT,1719189072
5,yellowknife,62.456,-114.3525,20.29,51,75,7.72,CA,1719189073
6,bodaybo,57.8506,114.1933,21.51,73,92,0.31,RU,1719189073
7,polyarnyy,69.1989,33.4478,10.32,75,5,2.86,RU,1719189073
8,enewetak,11.3474,162.3373,28.33,78,9,8.89,MH,1719189073
9,tiksi,71.6872,128.8694,12.09,54,96,4.61,RU,1719189074
10,samalut,28.3121,30.7101,30.92,22,0,2.76,EG,1719189074
11,crane,31.3974,-102.3501,33.93,23,0,6.8,US,1719189074
12,edinburgh of the seven seas,-37.0676,-12.3116,14.22,75,87,9.85,SH,1719189074
13,greymouth,-42.4667,171.2,11.71,75,100,2.41,NZ,1719189075
14,carnarvon,-24.8667,113.6333,16.72,47,0,8.35,AU,1719189075
15,ribeira grande,38.5167,-28.7,21.54,97,12,4.02,PT,1719189075
16,st. john's,47.5649,-52.7093,16.82,73,75,10.29,CA,1719189076
17,grytviken,-54.2811,-36.5092,-4.7,81,47,3.4,GS,1719189076
18,georgetown,5.4112,100.3354,27.96,84,20,1.54,MY,1719189055
19,lubuklinggau,-3.3,102.8667,24.75,68,98,0.4,ID,1719189076
20,uturoa,-16.7333,-151.4333,25.08,67,20,7.4,PF,1719189077
21,santa maria,-29.6842,-53.8069,18.61,94,100,2.57,BR,1719188510
22,ilulissat,69.2167,-51.1,1.01,100,100,2.06,GL,1719189077
23,haiku-pauwela,20.9219,-156.3051,28.45,76,40,10.29,US,1719189077
24,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1719189078
25,anadyr,64.75,177.4833,8.28,71,40,5.0,RU,1719189078
26,lensk,60.7253,114.9278,21.86,38,86,4.75,RU,1719189078
27,colonia,50.9333,6.95,17.37,85,0,1.54,DE,1719189078
28,port-aux-francais,-49.35,70.2167,1.63,66,100,15.21,TF,1719189079
29,invercargill,-46.4,168.35,10.57,97,13,1.34,NZ,1719189037
30,sabang,5.8933,95.3214,29.11,67,100,3.57,ID,1719189079
31,saipan,15.1355,145.701,29.39,79,75,5.66,MP,1719189079
32,west island,-12.1568,96.8225,27.99,78,100,8.75,CC,1719189080
33,road town,18.4167,-64.6167,29.02,84,40,5.66,VG,1719189080
34,tura,25.5198,90.2201,26.07,95,100,2.34,IN,1719189080
35,waitangi,-43.9535,-176.5597,12.12,84,100,3.13,NZ,1719189081
36,szydlowiec,51.2282,20.8611,16.36,73,100,1.69,PL,1719189081
37,olonkinbyen,70.9221,-8.7187,3.18,100,100,1.48,SJ,1719189082
38,axim,4.8699,-2.2405,25.01,91,82,2.38,GH,1719189082
39,koungheul,13.9833,-14.8,31.2,54,96,4.96,SN,1719189082
40,albany,42.6001,-73.9662,26.98,79,100,0.45,US,1719189082
41,avarua,-21.2078,-159.775,24.03,50,20,3.09,CK,1719189083
42,ciudad lazaro cardenas,17.9583,-102.2,27.89,75,97,1.85,MX,1719189083
43,vilyuchinsk,52.9306,158.4028,9.15,86,100,2.63,RU,1719189083
44,yuzhno-kurilsk,44.0306,145.8556,8.75,98,100,5.07,RU,1719189083
45,piet retief,-27.0071,30.8132,4.54,95,0,1.6,ZA,1719189084
46,susuman,62.7833,148.1667,20.39,43,29,0.62,RU,1719189084
47,nagqu,31.5,92.0,7.67,77,96,1.93,CN,1719189084
48,kosh-agach,50.0,88.6667,16.93,56,100,0.51,RU,1719189085
49,aripuana,-9.1667,-60.6333,24.86,53,15,0.65,BR,1719189085
50,longyearbyen,78.2186,15.6401,7.91,76,75,0.0,SJ,1719188897
51,ushuaia,-54.8,-68.3,-4.19,80,0,3.09,AR,1719189085
52,margaret river,-33.95,115.0667,12.16,87,86,3.01,AU,1719188846
53,seryshevo,51.0933,128.3786,23.94,45,58,0.88,RU,1719189086
54,sinop,41.7711,34.8709,18.26,28,0,3.39,TR,1719189086
55,dunedin,-45.8742,170.5036,9.8,96,99,5.82,NZ,1719189038
56,bethel,41.3712,-73.414,27.23,85,40,1.79,US,1719189087
57,constantia,44.1833,28.65,18.38,73,100,2.62,RO,1719189087
58,urengoy,65.9667,78.3667,21.86,57,36,3.47,RU,1719189087
59,cockburn town,21.4612,-71.1419,27.98,83,40,4.12,TC,1719189087
60,weno,7.4515,151.8468,28.78,79,94,7.5,FM,1719189088
61,whitehorse,60.7161,-135.0538,18.9,67,75,2.57,CA,1719189088
62,brush,40.2589,-103.6238,36.62,19,0,4.63,US,1719189088
63,tralee,52.2704,-9.7026,13.97,97,14,2.08,IE,1719189089
64,brookings,44.3114,-96.7984,27.19,66,0,3.6,US,1719189089
65,churapcha,62.0025,132.4325,22.29,36,19,3.17,RU,1719189089
66,balkashino,52.5167,68.7667,18.31,87,9,2.45,KZ,1719189089
67,mlimba,-8.8,35.8167,17.55,66,17,1.36,TZ,1719189090
68,udachny,66.4167,112.4,21.99,37,33,8.45,RU,1719189090
69,suva,-18.1416,178.4415,25.71,73,75,2.57,FJ,1719189090
70,liman,48.9884,37.8023,17.59,97,1,3.28,UA,1719189090
71,turabah,21.2141,41.6331,26.9,20,33,1.94,SA,1719189091
72,la passe,45.5549,-0.8967,17.21,89,0,2.92,FR,1719189091
73,bilibino,68.0546,166.4372,17.5,40,100,2.91,RU,1719189091
74,thompson,55.7435,-97.8558,27.09,28,75,4.12,CA,1719188950
75,hamilton,39.1834,-84.5333,28.87,64,40,5.14,US,1719189092
76,bamboo flat,11.7,92.7167,25.05,100,100,2.06,IN,1719189092
77,kumeny,58.1089,49.9161,8.56,92,27,6.04,RU,1719189092
78,basco,20.4487,121.9702,29.96,79,0,6.84,PH,1719189092
79,port elizabeth,-33.918,25.5701,15.73,71,0,1.34,ZA,1719189093
80,qahderijan,32.5767,51.455,19.53,22,17,0.11,IR,1719189093
81,adamstown,-25.066,-130.1015,22.58,88,100,6.48,PN,1719189093
82,inirida,3.8653,-67.9239,23.87,94,100,0.57,CO,1719189093
83,qaqortoq,60.7167,-46.0333,1.53,95,100,2.09,GL,1719189094
84,nemuro,43.3236,145.575,9.82,99,100,5.46,JP,1719189094
85,nizhnesortymskiy,62.4397,71.7603,20.78,74,6,3.2,RU,1719189094
86,rawlins,41.7911,-107.2387,30.94,11,0,9.77,US,1719189095
87,papatowai,-46.5619,169.4708,10.23,94,100,4.66,NZ,1719189095
88,balqash,46.8481,74.995,26.63,30,24,1.62,KZ,1719189095
89,puerto natales,-51.7236,-72.4875,-1.39,89,100,0.82,CL,1719189095
90,vila franca do campo,37.7167,-25.4333,21.23,99,60,2.75,PT,1719189096
91,namibe,-15.1961,12.1522,20.42,68,0,3.32,AO,1719189097
92,kodiak,57.79,-152.4072,16.73,63,0,2.57,US,1719189097
93,flin flon,54.7682,-101.865,23.82,38,94,4.36,CA,1719189097
94,sint michiel liber,12.15,-68.9833,27.75,84,1,8.34,CW,1719189098
95,tommot,58.9564,126.2925,22.44,49,6,1.74,RU,1719189098
96,misawa,40.6836,141.3597,20.89,99,100,1.81,JP,1719189099
97,aykhal,66.0,111.5,19.79,39,80,6.81,RU,1719188978
98,ugoofaaru,5.6667,73.0,28.35,80,100,7.83,MV,1719189099
99,stanley,54.868,-1.6985,12.51,86,0,2.06,GB,1719189099
100,ust-nera,64.5667,143.2,24.79,31,39,0.37,RU,1719189100
101,mili,6.0815,171.735,28.93,74,47,6.65,MH,1719189100
102,oranjemund,-28.55,16.4333,13.41,88,0,2.84,NA,1719189100
103,alice springs,-23.7,133.8833,11.75,58,0,1.54,AU,1719189101
104,isafjordur,66.0755,-23.124,4.85,80,44,2.43,IS,1719189101
105,targovishte,43.2592,26.5892,15.02,85,80,1.72,BG,1719189101
106,grand falls-windsor,48.9332,-55.6649,18.06,69,100,0.89,CA,1719189101
107,kolonia,50.9333,6.95,17.37,85,0,1.54,DE,1719189078
108,portland,45.5234,-122.6762,22.02,57,75,4.63,US,1719188734
109,marquette,46.5333,-87.6335,19.69,88,100,2.23,US,1719189103
110,ust-tsilma,65.441,52.1498,6.98,94,100,2.07,RU,1719189103
111,egilsstadir,65.2653,-14.3948,9.95,66,0,3.6,IS,1719189103
112,la gi,10.6667,107.7833,27.92,75,100,4.97,VN,1719189103
113,wailua homesteads,22.0669,-159.378,31.24,83,75,8.23,US,1719189104
114,san antonio de pale,-1.4014,5.6325,23.56,87,100,5.52,GQ,1719189104
115,iqaluit,63.7506,-68.5145,0.85,93,100,1.03,CA,1719189104
116,huron,41.1501,-82.5499,25.54,74,93,4.65,US,1719189105
117,rongelap,11.1635,166.8941,28.28,78,62,9.63,MH,1719189105
118,qamdo,31.1667,97.2333,10.24,74,100,1.95,CN,1719189105
119,ponta delgada,37.7333,-25.6667,21.4,78,75,3.09,PT,1719189105
120,chonchi,-42.6128,-73.8092,5.56,96,49,1.78,CL,1719189106
121,staroyur'yevo,53.3161,40.7081,15.34,80,100,2.09,RU,1719189106
122,pivijay,10.4617,-74.6162,26.29,85,9,3.1,CO,1719189106
123,westport,41.1415,-73.3579,28.4,73,75,5.66,US,1719189016
124,mount pearl,47.5166,-52.7813,16.36,71,75,10.29,CA,1719189007
125,port mathurin,-19.6833,63.4167,23.05,75,13,10.12,MU,1719189107
126,kenai,60.5544,-151.2583,22.23,66,0,4.63,US,1719188872
127,lorengau,-2.0226,147.2712,29.88,69,100,3.46,PG,1719189108
128,amga,60.8953,131.9608,23.46,30,65,2.33,RU,1719189108
129,cambria,35.5641,-121.0808,36.24,64,23,2.77,US,1719189109
130,papao,-17.75,-149.55,26.82,71,34,6.46,PF,1719189109
131,dehdasht,30.7949,50.5646,30.34,21,59,1.58,IR,1719189109
132,iskateley,67.6803,53.1512,8.81,77,99,3.38,RU,1719189109
133,poxoreo,-15.8372,-54.3892,22.76,49,8,1.98,BR,1719189110
134,dangriga,16.9692,-88.2321,27.97,84,100,5.45,BZ,1719189110
135,cabo san lucas,22.8909,-109.9124,32.32,47,0,6.17,MX,1719189029
136,el abiodh sidi cheikh,32.893,0.5484,26.34,20,0,3.51,DZ,1719189110
137,montgomery,39.1501,-77.1997,32.68,69,100,1.54,US,1719189111
138,pandan,14.0453,124.1694,28.13,83,99,4.48,PH,1719189111
139,klaksvik,62.2266,-6.589,9.51,98,100,13.24,FO,1719189111
140,channagiri,14.0333,75.9333,21.78,86,100,8.52,IN,1719189112
141,thunder bay,48.4001,-89.3168,21.95,64,20,3.6,CA,1719189112
142,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,75,4.0,RU,1719189112
143,staroaleyskoye,51.0061,82.0,22.72,77,64,2.14,RU,1719189112
144,pathum thani,14.0833,100.6,29.44,84,20,2.06,TH,1719189113
145,gongzhuling,43.5008,124.8198,14.15,93,100,3.86,CN,1719189113
146,kerikeri,-35.2268,173.9474,12.73,95,100,1.01,NZ,1719189113
147,bredasdorp,-34.5322,20.0403,12.1,81,6,1.78,ZA,1719189113
148,sisimiut,66.9395,-53.6735,3.83,86,96,3.0,GL,1719189114
149,figuig (centre),32.1089,-1.2286,28.2,14,0,1.47,MA,1719189114
150,college,64.8569,-147.8028,27.47,24,75,2.06,US,1719189114
151,kumylzhenskaya,49.8809,42.5898,17.77,80,99,3.33,RU,1719189114
152,lebu,-37.6167,-73.65,7.04,87,9,2.62,CL,1719189115
153,odda,60.0691,6.5457,10.98,94,14,1.19,NO,1719189115
154,labytnangi,66.6572,66.4183,12.58,64,68,5.6,RU,1719189115
155,tazovsky,67.4667,78.7,14.99,73,27,0.79,RU,1719189116
156,revda,56.801,59.9303,15.16,98,75,2.79,RU,1719189116
157,urzhar,47.093,81.6294,27.14,40,82,1.18,KZ,1719189116
158,natal,-5.795,-35.2094,24.36,94,75,1.54,BR,1719189116
159,blackmans bay,-43.0167,147.3167,7.07,95,61,3.63,AU,1719189117
160,yemva,62.59,50.8594,7.4,79,37,2.36,RU,1719189117
161,opuwo,-18.0607,13.84,13.9,34,0,3.77,NA,1719189117
162,khorinsk,52.1657,109.7726,21.21,51,92,1.18,RU,1719189117
163,berriane,32.8265,3.7669,29.45,25,0,3.82,DZ,1719189118
164,carahue,-38.7,-73.1667,5.45,94,95,0.97,CL,1719189118
165,queenstown,-31.8976,26.8753,10.64,56,0,2.57,ZA,1719189118
166,afaahiti,-17.75,-149.2833,25.93,71,35,7.89,PF,1719189118
167,englewood,39.6478,-104.9878,35.48,19,40,2.57,US,1719189119
168,bel ombre,-4.6167,55.4167,26.91,78,40,4.63,SC,1719189119
169,new norfolk,-42.7826,147.0587,7.73,73,100,1.36,AU,1719189119
170,klyuchi,52.2667,79.1667,25.84,65,40,4.4,RU,1719189120
171,trimbak,19.9333,73.55,22.04,93,100,1.93,IN,1719189120
172,bodo,67.28,14.405,11.54,93,75,11.83,NO,1719189120
173,ulladulla,-35.35,150.4667,13.58,50,94,0.89,AU,1719189120
174,al jawf,29.5,38.75,25.18,34,0,2.23,SA,1719189121
175,talnakh,69.4865,88.3972,12.9,84,100,2.92,RU,1719189121
176,tame,6.461,-71.73,22.63,88,100,1.29,CO,1719189121
177,zinder,13.8072,8.9881,28.23,53,3,6.07,NE,1719189121
178,clarion,41.2148,-79.3853,23.82,90,12,2.9,US,1719189122
179,mirnyy,62.5353,113.9611,20.39,40,11,3.07,RU,1719189041
180,punta arenas,-53.15,-70.9167,-7.94,93,0,2.57,CL,1719189122
181,la sarre,48.8002,-79.1996,16.21,86,99,2.81,CA,1719189123
182,cascais,38.6979,-9.4215,21.14,80,98,5.81,PT,1719189123
183,banjar,-8.19,114.9675,26.64,82,75,2.47,ID,1719189123
184,kahna nau,31.3692,74.3653,30.02,51,0,3.09,PK,1719189123
185,kavaratti,10.5669,72.642,27.17,83,92,10.19,IN,1719189124
186,bangui,4.3612,18.555,23.1,94,0,0.51,CF,1719189124
187,bireun,5.203,96.7009,26.27,76,100,1.84,ID,1719189124
188,ancud,-41.8697,-73.8203,6.3,90,71,4.93,CL,1719189124
189,alofi,-19.0595,-169.9187,25.94,50,20,7.2,NU,1719189125
190,karratha,-20.7377,116.8463,22.71,37,5,8.6,AU,1719189125
191,monrovia,6.3005,-10.7969,24.87,91,100,4.17,LR,1719189125
192,ebon,4.582,168.6964,29.03,77,97,7.74,MH,1719189126
193,rimouski,48.4488,-68.524,15.1,95,100,2.16,CA,1719189126
194,vuktyl,63.8567,57.3094,13.65,70,100,2.61,RU,1719189126
195,nova sintra,14.8667,-24.7167,23.54,82,7,6.37,CV,1719189126
196,hermanus,-34.4187,19.2345,11.56,75,4,1.76,ZA,1719189127
197,phan rang-thap cham,11.5667,108.9833,27.49,72,100,2.46,VN,1719189127
198,rikaze,29.25,88.8833,13.66,58,97,1.62,CN,1719189127
199,maradi,13.5,7.1017,26.25,67,99,9.11,NE,1719189128
200,mukalla,14.5425,49.1242,29.49,68,100,2.12,YE,1719189128
201,xiazhuang,34.9161,118.6389,28.9,34,100,4.41,CN,1719189128
202,kargasok,59.0556,80.8572,21.07,79,74,3.04,RU,1719189129
203,talodi,10.6325,30.3797,24.88,65,100,2.14,SD,1719189129
204,plastun,44.7561,136.2939,9.56,97,100,2.65,RU,1719189129
205,lakheri,25.6667,76.1667,32.04,56,8,2.5,IN,1719189129
206,kone,-21.0595,164.8658,28.41,49,99,3.18,NC,1719189130
207,sao paulo de olivenca,-3.3783,-68.8725,23.74,91,11,0.7,BR,1719189130
208,viet tri,21.3019,105.4308,26.97,76,100,3.42,VN,1719189130
209,tarawa,1.419,172.984,31.05,74,20,2.57,KI,1719189130
210,dondo,-19.6094,34.7431,18.73,93,90,3.19,MZ,1719189131
211,saint-francois,46.4154,3.9054,14.82,88,0,3.09,FR,1719189131
212,ngereklmadel,7.4883,134.4856,32.05,74,75,3.6,PW,1719189131
213,wynyard,-41.0,145.7167,12.12,68,100,4.3,AU,1719189131
214,newman,37.3138,-121.0208,42.13,9,0,6.15,US,1719189132
215,el granada,37.5027,-122.4694,34.95,77,0,9.77,US,1719189132
216,fortuna,40.5982,-124.1573,17.19,74,75,6.17,US,1719189133
217,rawai,7.7797,98.3253,25.06,71,100,6.04,TH,1719189133
218,port saint john's,-31.6229,29.5448,17.18,65,0,3.14,ZA,1719189133
219,hadibu,12.65,54.0333,27.73,81,100,10.51,YE,1719189133
220,lihue,21.9789,-159.3672,31.58,78,75,8.23,US,1719189134
221,aasiaat,68.7098,-52.8699,2.53,87,100,3.34,GL,1719189134
222,garoowe,8.4054,48.4845,24.43,70,100,12.61,SO,1719189134
223,ar ruways,24.1103,52.7306,31.91,78,0,4.13,AE,1719189135
224,wainwright,52.839,-110.8572,17.2,84,100,9.33,CA,1719189135
225,banfora,10.6333,-4.7667,26.41,74,24,1.64,BF,1719189135
226,touros,-5.1989,-35.4608,24.19,88,9,4.85,BR,1719189135
227,yen bai,21.7,104.8667,27.93,89,100,0.78,VN,1719189136
228,tindouf,27.6711,-8.1474,29.25,39,0,7.72,DZ,1719189136
229,daru,-9.0763,143.2092,25.9,90,82,5.66,PG,1719189136
230,lompoc,34.6391,-120.4579,28.77,57,0,5.66,US,1719189039
231,laguna,38.421,-121.4238,40.05,22,0,4.63,US,1719189136
232,fortaleza,-3.7227,-38.5247,25.68,88,40,4.12,BR,1719189137
233,boa vista,2.8197,-60.6733,26.99,83,40,2.06,BR,1719189137
234,jurbarkas,55.0778,22.7664,13.5,98,100,2.41,LT,1719189137
235,kikwit,-5.041,18.8162,21.41,61,79,0.79,CD,1719189138
236,kapa'a,22.0752,-159.319,31.99,83,75,8.23,US,1719189138
237,port nelson,23.6333,-74.8333,27.9,76,85,7.42,BS,1719189138
238,juneau,58.3019,-134.4197,16.9,89,100,5.14,US,1719188842
239,baardheere,2.3446,42.2764,23.54,81,100,6.25,SO,1719189139
240,veraval,20.9,70.3667,28.34,76,100,4.5,IN,1719189139
241,manhattan,40.7834,-73.9662,32.81,56,20,8.75,US,1719189139
242,azemmour,33.2895,-8.3425,20.23,89,0,4.21,MA,1719189139
243,acapulco de juarez,16.8634,-99.8901,29.9,70,40,2.06,MX,1719189140
244,vila do maio,15.1333,-23.2167,23.44,83,57,7.63,CV,1719189140
245,lucea,18.451,-78.1736,26.92,94,100,5.35,JM,1719189140
246,roanoke,37.271,-79.9414,30.36,60,100,1.75,US,1719189140
247,dalican,6.9667,124.4,28.69,76,100,1.0,PH,1719189141
248,lamu,-2.2717,40.902,25.2,80,100,8.59,KE,1719189141
249,goma,-1.6792,29.2228,16.36,81,92,1.48,CD,1719189141
250,gao,16.6362,1.637,32.69,32,83,3.66,ML,1719189142
251,whakatane,-37.9585,176.9854,14.32,95,100,1.79,NZ,1719189142
252,saquarema,-22.92,-42.5103,22.25,66,0,3.36,BR,1719189142
253,broken hill,-31.95,141.4333,10.85,54,100,7.49,AU,1719188991
254,richards bay,-28.783,32.0377,15.63,79,0,2.69,ZA,1719189143
255,fale old settlement,-9.3852,-171.2468,27.9,79,98,9.73,TK,1719189143
256,nova vicosa,-17.8919,-39.3719,22.61,89,32,2.97,BR,1719189143
257,selfoss,63.9331,-20.9971,7.8,85,100,2.92,IS,1719189144
258,galliano,29.4422,-90.2992,31.0,62,0,1.54,US,1719189144
259,kruisfontein,-34.0033,24.7314,12.81,68,0,0.66,ZA,1719189145
260,margate,51.3813,1.3862,17.05,79,95,0.89,GB,1719189145
261,suining,30.508,105.5733,25.58,81,100,0.8,CN,1719189145
262,kabare,-2.4683,28.8242,14.74,92,95,0.48,CD,1719189145
263,nizhneudinsk,54.9076,99.0276,16.12,66,0,1.19,RU,1719189146
264,shawinigan,46.5668,-72.7491,16.23,94,100,2.57,CA,1719189146
265,peniche,39.3558,-9.3811,18.49,93,23,6.87,PT,1719189146
266,hami,42.8,93.45,31.94,9,0,3.88,CN,1719189147
267,inhambane,-23.865,35.3833,20.75,81,54,3.88,MZ,1719189147
268,atafu village,-8.5421,-172.5159,28.01,79,98,8.57,TK,1719189147
269,kingston,17.997,-76.7936,28.53,74,20,5.66,JM,1719189148
270,el tigre,8.8875,-64.2454,24.55,88,100,3.55,VE,1719189148
271,katsuren-haebaru,26.3369,127.8719,31.43,76,0,6.69,JP,1719189149
272,guerrero negro,27.9769,-114.0611,22.42,66,3,7.42,MX,1719189149
273,kirakira,-10.4544,161.9205,28.57,78,99,4.08,SB,1719189149
274,flying fish cove,-10.4217,105.6791,25.82,83,75,6.69,CX,1719189150
275,kalmunai,7.4167,81.8167,26.94,73,76,1.99,LK,1719189150
276,brokopondo,4.75,-55.1667,25.75,86,100,2.97,SR,1719189150
277,luderitz,-26.6481,15.1594,17.57,52,0,3.77,NA,1719189150
278,namsos,64.4662,11.4957,11.95,71,100,6.17,NO,1719189151
279,mochudi,-24.4167,26.15,9.77,78,0,1.28,BW,1719189151
280,juhaynah,26.6732,31.4976,29.18,19,0,1.39,EG,1719189151
281,medina,24.4686,39.6142,36.24,7,0,5.14,SA,1719189151
282,port douglas,-16.4833,145.4667,23.59,72,78,5.31,AU,1719189152
283,severo-yeniseyskiy,60.3725,93.0408,15.5,64,6,3.29,RU,1719189152
284,severoural'sk,60.1533,59.952,14.59,99,100,2.81,RU,1719189153
285,wildwood,38.5828,-90.6629,32.28,46,0,4.12,US,1719189153
286,ola,59.5833,151.2833,9.97,85,88,2.93,RU,1719189153
287,jiuquan,39.7432,98.5174,22.43,26,0,4.15,CN,1719189153
